[2026-05-23 23:04:44] [INFO] [MAIN] Loaded server configuration from ..\..\configs\server_2.cfg
[2026-05-23 23:04:44] [INFO] [MAIN] Added peer server config - ID: 1 Address: 127.0.0.1:9001
[2026-05-23 23:04:44] [INFO] [SERVER] Starting Chat Server Node 2 on port 9002
[2026-05-23 23:04:44] [SUCCESS] [SERVER] Chat Server Node 2 is fully operational
[2026-05-23 23:04:44] [INFO] [HEARTBEAT] Heartbeat manager thread started
[2026-05-23 23:04:44] [INFO] [SERVER] Listener select-loop thread running
[2026-05-23 23:04:44] [INFO] [SERVER] Peer auto-connector thread running
[2026-05-23 23:04:44] [INFO] [SERVER] Attempting to connect to peer Server ID 1 at 127.0.0.1:9001
[2026-05-23 23:04:44] [SUCCESS] [SERVER] Successfully established connection to peer Server ID: 1
[2026-05-23 23:04:44] [INFO] [SERVER] Accepted new raw connection from client handle: 288
[2026-05-23 23:04:44] [INFO] [SERVER] Promoting incoming raw connection from socket 288 to Peer Server ID: 1
[2026-05-23 23:04:49] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:04:49] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:04:54] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:04:54] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:04:59] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:04:59] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:04] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:04] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:09] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:09] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:14] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:14] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:19] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:19] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:24] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:24] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:29] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:29] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:34] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:34] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:38] [INFO] [SERVER] Peer replicated User Alice online on Server ID: 1
[2026-05-23 23:05:39] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:39] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:44] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:44] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:49] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:49] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:54] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:54] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:57] [INFO] [SERVER] Accepted new raw connection from client handle: 328
[2026-05-23 23:05:59] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:05:59] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:05:59] [SUCCESS] [SERVER] User Bob successfully authenticated on Server 2
[2026-05-23 23:05:59] [INFO] [REPLICATION] Replicating login of Bob to peer cluster
[2026-05-23 23:06:04] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:04] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:09] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:09] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:14] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:14] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:19] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:19] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:24] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:24] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:29] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:29] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:34] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:34] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:39] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:39] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:44] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:44] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:49] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:49] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:54] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:54] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:59] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
